Validation_Set,Topics,Alpha,Beta,Coherence
['100% Corpus'],13,0.61,0.01,0.4250648385156615
['100% Corpus'],13,0.61,0.31,0.491476727136537
['100% Corpus'],13,0.61,0.61,0.534585972072371
['100% Corpus'],13,0.61,0.9099999999999999,0.5236362152742984
['100% Corpus'],13,0.61,symmetric,0.44524765940791416
['100% Corpus'],13,0.9099999999999999,0.01,0.45700666877958473
['100% Corpus'],13,0.9099999999999999,0.31,0.49831186408133643
['100% Corpus'],13,0.9099999999999999,0.61,0.5354219862431895
['100% Corpus'],13,0.9099999999999999,0.9099999999999999,0.4701271751109584
['100% Corpus'],13,0.9099999999999999,symmetric,0.4355445488168529
['100% Corpus'],13,symmetric,0.01,0.3953055293493908
['100% Corpus'],13,symmetric,0.31,0.4250628325751193
['100% Corpus'],13,symmetric,0.61,0.4640249338478508
['100% Corpus'],13,symmetric,0.9099999999999999,0.3728145769289541
['100% Corpus'],13,symmetric,symmetric,0.4619276103998044
['100% Corpus'],13,asymmetric,0.01,0.3946901667569926
['100% Corpus'],13,asymmetric,0.31,0.3651637479297669
['100% Corpus'],13,asymmetric,0.61,0.33935835522364266
['100% Corpus'],13,asymmetric,0.9099999999999999,0.37177204979619627
['100% Corpus'],13,asymmetric,symmetric,0.3881648516083297
['100% Corpus'],14,0.01,0.01,0.4256663912872948
['100% Corpus'],14,0.01,0.31,0.44800400641671084
['100% Corpus'],14,0.01,0.61,0.45273287925546846
['100% Corpus'],14,0.01,0.9099999999999999,0.4005815903785494
['100% Corpus'],14,0.01,symmetric,0.4273446413542935
['100% Corpus'],14,0.31,0.01,0.3826799257587766
['100% Corpus'],14,0.31,0.31,0.3811816327968524
['100% Corpus'],14,0.31,0.61,0.36834786959113336
['100% Corpus'],14,0.31,0.9099999999999999,0.3963308677038256
['100% Corpus'],14,0.31,symmetric,0.37930052689496746
['100% Corpus'],14,0.61,0.01,0.4411322247185857
['100% Corpus'],14,0.61,0.31,0.4585107280801562
['100% Corpus'],14,0.61,0.61,0.5102233356339522
['100% Corpus'],14,0.61,0.9099999999999999,0.5720343664243109
['100% Corpus'],14,0.61,symmetric,0.4204012498144195
['100% Corpus'],14,0.9099999999999999,0.01,0.46198880943405224
['100% Corpus'],14,0.9099999999999999,0.31,0.4801561142251439
['100% Corpus'],14,0.9099999999999999,0.61,0.5026394148914161
['100% Corpus'],14,0.9099999999999999,0.9099999999999999,0.46806721517605226
['100% Corpus'],14,0.9099999999999999,symmetric,0.44569807399451544
['100% Corpus'],14,symmetric,0.01,0.46499238725589215
['100% Corpus'],14,symmetric,0.31,0.503486816952109
['100% Corpus'],14,symmetric,0.61,0.4449968994499008
['100% Corpus'],14,symmetric,0.9099999999999999,0.4240698630088013
['100% Corpus'],14,symmetric,symmetric,0.5030268148494376
['100% Corpus'],14,asymmetric,0.01,0.4394686007741394
['100% Corpus'],14,asymmetric,0.31,0.41441132865947633
['100% Corpus'],14,asymmetric,0.61,0.3753103280579149
['100% Corpus'],14,asymmetric,0.9099999999999999,0.38212528020452424
['100% Corpus'],14,asymmetric,symmetric,0.44430776322855553
['100% Corpus'],15,0.01,0.01,0.31118799296280925
['100% Corpus'],15,0.01,0.31,0.38366587664357366
['100% Corpus'],15,0.01,0.61,0.43178396927213053
['100% Corpus'],15,0.01,0.9099999999999999,0.4712100911894554
['100% Corpus'],15,0.01,symmetric,0.3456461014136218
['100% Corpus'],15,0.31,0.01,0.3924301755947177
['100% Corpus'],15,0.31,0.31,0.3538946500281552
['100% Corpus'],15,0.31,0.61,0.4246989035490569
['100% Corpus'],15,0.31,0.9099999999999999,0.5056535647117049
['100% Corpus'],15,0.31,symmetric,0.3613240307311792
['100% Corpus'],15,0.61,0.01,0.43631878708714117
['100% Corpus'],15,0.61,0.31,0.4683310274730452
['100% Corpus'],15,0.61,0.61,0.5417618847188047
['100% Corpus'],15,0.61,0.9099999999999999,0.5995069623108562
['100% Corpus'],15,0.61,symmetric,0.42727219606802047
['100% Corpus'],15,0.9099999999999999,0.01,0.5171160342690979
['100% Corpus'],15,0.9099999999999999,0.31,0.49463997909911755
['100% Corpus'],15,0.9099999999999999,0.61,0.4756904947612131
['100% Corpus'],15,0.9099999999999999,0.9099999999999999,0.46393309901285323
['100% Corpus'],15,0.9099999999999999,symmetric,0.45294541979032066
['100% Corpus'],15,symmetric,0.01,0.3995096643540495
['100% Corpus'],15,symmetric,0.31,0.47058649442234557
['100% Corpus'],15,symmetric,0.61,0.45873101899523877
['100% Corpus'],15,symmetric,0.9099999999999999,0.5033300831702378
['100% Corpus'],15,symmetric,symmetric,0.4297746364184194
['100% Corpus'],15,asymmetric,0.01,0.3500976360292279
